,Release ID,Album,Year,Artist Name,Label
358,861053,1986,Ryuichi Sakamoto,Illustrated Musical Encyclopedia,10 Records
359,861453,1984,Marillion,Fugazi,EMI
360,861738,1995,Marillion,Afraid Of Sunlight,EMI United Kingdom
361,878244,2006,Sonic Youth,The Destroyed Room (B-Sides And Rarities),Geffen Records
362,881792,2006,Isobel Campbell,Milkwhite Sheets,V2
363,883234,1995,Sonic Youth,Confusion Is Sex (Plus Kill Yr. Idols),DGC
364,883351,2006,Silkworm,Chokes!,12XU
365,883402,2003,Thick Pigeon,Too Crazy Cowboys,LTM (4)
366,884515,1992,PJ Harvey,Dry,Too Pure
367,890412,1999,Les Savy Fav,The Cat And The Cobra,Frenchkiss Records
368,890907,1995,Sonic Youth,Washing Machine,DGC
369,892417,1974,Joni Mitchell,Court And Spark,Asylum Records
370,894763,1998,Hum (2),Downward Is Heavenward,RCA
371,896456,1981,Big Boys (2),Where's My Towel / Industry Standard,Wasted Talent Records
372,910415,2001,Elk City,Status,Talitres Records
373,923965,1990,Bob Mould,Black Sheets Of Rain,Virgin
374,928746,2005,Grouper,Way Their Crept,Free Porcupine Society
375,930465,2006,Tears For Fears,Songs From The Big Chair,Mercury
376,933526,2007,Low,Drums And Guns,Sub Pop
377,939144,2007,Aparatec,Vemeer EP,Erased Tapes Records
378,940176,2007,Stars Of The Lid,Stars Of The Lid And Their Refinement Of The Decline,Kranky
379,940323,1976,Joni Mitchell,Hejira,Asylum Records
380,944143,1979,Neil Young,Rust Never Sleeps,Reprise Records
381,946106,2000,Nina Nastasia,Dogs,Socialist Records
382,951362,2007,Porcupine Tree,Fear Of A Blank Planet,Roadrunner Records
383,956417,2007,Bill Callahan,Woke On A Whaleheart,Drag City
384,958738,2007,Electrelane,No Shouts No Calls,Too Pure
385,959563,1993,Thinking Fellers Union Local 282,Admonishing The Bishops,Matador
386,962252,2004,Sonic Youth,Sonic Nurse,DGC
387,965617,1994,Thinking Fellers Union Local 282,Strangers From The Universe,Matador
388,979629,1993,Catherine Wheel,Chrome,Fontana
389,980636,1986,Elvis Costello & The Attractions,Blood & Chocolate,Imp Records
390,987958,2006,Nina Nastasia,On Leaving,FatCat Records
391,988133,2007,Nina Nastasia,You Follow Me,FatCat Records
392,995839,1985,The Replacements,Tim,Sire
393,996832,2002,Hella,Hold Your Horse Is,5 Rue Christine
394,1006038,1998,Songs: Ohia,Impala,Secretly Canadian
395,1008332,1990,Michael Hedges,Taproot,Windham Hill Records
396,1013772,2007,St. Vincent,Marry Me,Beggars Banquet
397,1013873,2000,Porcupine Tree,Lightbulb Sun,Kscope
398,1014185,1986,Felt,Forever Breathes The Lonely Word,Creation Records
399,1014432,1988,Felt,Train Above The City,Creation Records
400,1015059,1993,fIREHOSE,Mr. Machinery Operator,Columbia
401,1018769,1987,Felt,Poem Of The River,Creation Records
402,1022671,1984,Cleaners From Venus,Under Wartime  Conditions,Man At The Off Licence
403,1027663,1998,Karate,The Bed Is In The Ocean,Southern Records
404,1030997,2007,Young Marble Giants,Colossal Youth & Collected Works,Domino
405,1038120,1986,Billy Bragg,Talking With The Taxman About Poetry,Go! Discs
406,1041361,1995,Medicine (2),Her Highness,American Recordings
407,1048911,1986,The Go-Betweens,Liberty Belle And The Black Diamond Express,Truetone Records
408,1056093,1987,Sonic Youth,Sister,SST Records
409,1056989,2001,Neko Case,Canadian Amp,Lady Pilot
410,1059257,2000,IQ (7),The Seventh House,Giant Electric Pea
411,1060169,1981,Keith Jarrett,Invocations / The Moth And The Flame,ECM Records
412,1060844,2007,Pink Floyd,The Piper At The Gates Of Dawn,EMI
413,1064459,2003,Isobel Campbell,Amorino,Snowstorm
414,1065394,1978,Ryuichi Sakamoto,Thousand Knives Of = 千のナイフ,Better Days (2)
415,1075242,1988,For Against,December,Independent Project Records
416,1075277,1981,Joy Division,Still,Factory
417,1081712,1994,Dead Moon,Crack In The System,Tombstone Records
418,1083287,1996,Fishmans,Long Season,Polydor
419,1085600,1998,King Sunny Ade,Odù,Atlantic
420,1085618,1997,King Sunny Ade,Ogun,Aladdin (4)
421,1087557,2006,Peter Hammill,In Camera,Virgin
422,1087639,1975,Neil Young,Zuma,Reprise Records
423,1092938,2007,A Sunny Day In Glasgow,Scribble Mural Comic Journal,Notenuf Records
424,1094304,1977,John Martyn,One World,Island Records
425,1094922,2004,Les Savy Fav,Inches,Frenchkiss Records
426,1095245,0,Deutsch Amerikanische Freundschaft,Alles Ist Gut,The Grey Area
427,1097357,2007,Les Savy Fav,Let's Stay Friends,Frenchkiss Records
428,1097391,2004,Planes Mistaken For Stars,Up In Them Guts,No Idea Records
429,1100832,2007,Bottomless Pit,Hammer Of The Gods,Not On Label (Bottomless Pit Self-released)
430,1112153,1983,Ryuichi Sakamoto,Merry Christmas Mr. Lawrence = 戦場のメリー・クリスマス オリジナルサウンドトラック,London Records
431,1113428,2002,Phish,"LivePhish 15 (10.31.96 The Omni, Atlanta, Georgia)",Elektra
432,1120374,2003,Echo & The Bunnymen,Ocean Rain,Warner Strategic Marketing
433,1126755,2002,Warren Zevon,My Ride's Here,Artemis Records
434,1129179,1998,Silkworm,Blueblood,Touch And Go
435,1131403,1983,The Replacements,Hootenanny,Twin/Tone Records
436,1132699,1992,Smog,Forgotten Foundation,Drag City
437,1132715,1990,Smog,Sewn To The Sky,Disaster Records (3)
438,1135506,1988,Billy Bragg,Workers Playtime,Go! Discs
439,1138091,1996,Silkworm,Firewater,Matador
440,1140966,2007,Karate,595,Southern Records
441,1142101,1996,Smog,The Doctor Came At Dawn,Drag City
442,1142450,1994,Tortoise,Tortoise,Thrill Jockey
443,1143841,2007,Stars Of The Lid,Carte-De-Visite,Not On Label (Stars Of The Lid Self-released)
444,1163058,1985,Minutemen,Project: Mersh,SST Records
445,1167325,1995,Unrest (2),B.P.M. (1991-1994),Teenbeat
446,1181326,2002,Frou Frou,Details,Island Records
447,1183767,2007,Elk City,New Believers,Friendly Fire Recordings
448,1192997,2004,The Radio Dept.,Ewan,XL Recordings
449,1193573,2007,Rival Consoles,The Decadent EP,Erased Tapes Records
450,1199772,2006,Siouxsie & The Banshees,Juju,Polydor
